hex_code,occurence,R,G,B,percent,Movement
#080904,17710103,8,9,4,40.09,Surrealism
#95B882,11081541,149,184,130,25.08,Surrealism
#393E42,7833406,57,62,66,17.73,Surrealism
#151B19,3205532,21,27,25,86.13,Surrealism
#32332D,2878010,50,51,45,56.09,Surrealism
#737776,2574413,115,119,118,5.83,Surrealism
#CCF479,2512776,204,244,121,5.69,Surrealism
#F2E8DC,2262880,242,232,220,56.57,Surrealism
#EFF0EA,2163376,239,240,234,85.83,Surrealism
#0C0C0C,2112993,24,24,24,59.849999999999994,Surrealism
