hex_code,occurence,R,G,B,percent,Movement
#EDECEA,1144,237,236,234,0.64,Magic-Realism
#722D40,1019,114,45,64,0.57,Magic-Realism
#A96E68,18,169,110,104,0.01,Magic-Realism
#F6A393,1,246,163,147,0.0,Magic-Realism
#1A100E,109572,26,16,14,33.95,Magic-Realism
#783D1F,86306,120,61,31,26.74,Magic-Realism
#AFB2A1,56810,175,178,161,17.6,Magic-Realism
#AE8253,53731,174,130,83,16.65,Magic-Realism
#C79735,8147,199,151,53,2.52,Magic-Realism
#5D443D,6837,93,68,61,2.12,Magic-Realism
#C1642B,850,193,100,43,0.26,Magic-Realism
#E5C795,375,229,199,149,0.12,Magic-Realism
#3D0D00,103,61,13,0,0.03,Magic-Realism
#D3BA9B,157094,211,186,155,94.99,Magic-Realism
#83795E,6884,131,121,94,4.16,Magic-Realism
#444025,1331,68,64,37,0.8,Magic-Realism
#FFFDF4,48,255,253,244,0.03,Magic-Realism
#080300,30,8,3,0,0.02,Magic-Realism
#18160A,305615,24,22,10,71.96,Magic-Realism
#4A320C,34414,74,50,12,8.1,Magic-Realism
#4E4E44,24738,78,78,68,5.82,Magic-Realism
#B8C2CC,20626,184,194,204,4.86,Magic-Realism
#8B6A47,16014,139,106,71,3.77,Magic-Realism
#8C1D12,11996,140,29,18,2.82,Magic-Realism
#380B05,5989,56,11,5,1.41,Magic-Realism
#102037,3594,16,32,55,0.85,Magic-Realism
#C2AB8B,1729,194,171,139,0.41,Magic-Realism
#302414,140581,48,36,20,46.17,Magic-Realism
#766645,72377,118,102,69,23.77,Magic-Realism
#D09642,49658,208,150,66,16.31,Magic-Realism
#CBB190,30978,203,177,144,10.17,Magic-Realism
#935B22,10205,147,91,34,3.35,Magic-Realism
#534C54,357,83,76,84,0.12,Magic-Realism
#582804,311,88,40,4,0.1,Magic-Realism
#D2866F,5,210,134,111,0.0,Magic-Realism
#2A1D15,771904,42,29,21,47.29,Magic-Realism
#6A6762,406811,106,103,98,24.92,Magic-Realism
#BBAB8A,226520,187,171,138,13.88,Magic-Realism
#77301A,117284,119,48,26,7.19,Magic-Realism
#875810,87275,135,88,16,5.35,Magic-Realism
#3C4624,21867,60,70,36,1.34,Magic-Realism
#9EA1AA,324,158,161,170,0.02,Magic-Realism
#767940,293,118,121,64,0.02,Magic-Realism
#F7EBDF,67,247,235,223,0.0,Magic-Realism
#E6E7D5,153828,230,231,213,65.67,Magic-Realism
#67746A,74702,103,116,106,31.89,Magic-Realism
#92AFB5,5728,146,175,181,2.45,Magic-Realism
#EAE5C8,237531,234,229,200,36.66,Magic-Realism
#7B776E,228885,123,119,110,35.32,Magic-Realism
#B0C2D0,87589,176,194,208,13.52,Magic-Realism
#397CB0,47817,57,124,176,7.38,Magic-Realism
#333F35,36898,51,63,53,5.69,Magic-Realism
#5B8152,5679,91,129,82,0.88,Magic-Realism
#AEAD41,3338,174,173,65,0.52,Magic-Realism
#ABB47D,140,171,180,125,0.02,Magic-Realism
#284A65,80,40,74,101,0.01,Magic-Realism
#093795,361111,9,55,149,36.41,Magic-Realism
#55ABE8,200144,85,171,232,20.18,Magic-Realism
#FFFFFF,135031,255,255,255,13.62,Magic-Realism
#1670C8,114747,22,112,200,11.57,Magic-Realism
#040000,73270,4,0,0,7.39,Magic-Realism
#301C41,48308,48,28,65,4.87,Magic-Realism
#EDDBB5,39568,237,219,181,3.99,Magic-Realism
#9BC4D6,16081,155,196,214,1.62,Magic-Realism
#8EB99E,3489,142,185,158,0.35,Magic-Realism
#000000,486352,0,0,0,42.88,Magic-Realism
#FDFDFD,178713,253,253,253,15.76,Magic-Realism
#968B9C,136210,150,139,156,12.01,Magic-Realism
#2D1C3E,91002,45,28,62,8.02,Magic-Realism
#4C81B7,82764,76,129,183,7.3,Magic-Realism
#252908,59034,37,41,8,5.2,Magic-Realism
#9B870E,50937,155,135,14,4.49,Magic-Realism
#BEC099,27833,190,192,153,2.45,Magic-Realism
#46454A,21370,70,69,74,1.88,Magic-Realism
#C49933,513391,196,153,51,39.31,Magic-Realism
#000000,507851,0,0,0,38.89,Magic-Realism
#474A51,128882,71,74,81,9.87,Magic-Realism
#F0D88E,51032,240,216,142,3.91,Magic-Realism
#5E6531,50375,94,101,49,3.86,Magic-Realism
#2C2E16,42249,44,46,22,3.24,Magic-Realism
#FED758,5837,254,215,88,0.45,Magic-Realism
#543A00,3523,84,58,0,0.27,Magic-Realism
#868F34,2733,134,143,52,0.21,Magic-Realism
#26231E,162095,38,35,30,71.28,Magic-Realism
#5E523C,53053,94,82,60,23.33,Magic-Realism
