hex_code,occurence,R,G,B,percent,Movement
#F3E0DC,116851,243,224,220,51.89,Neoclassicism
#71705B,107983,113,112,91,47.95,Neoclassicism
#2B292E,250,43,41,46,0.11,Neoclassicism
#CFA978,95,207,169,120,0.04,Neoclassicism
#DAC087,385126,218,192,135,48.26,Neoclassicism
#070506,240445,7,5,6,30.13,Neoclassicism
#966A3D,171524,150,106,61,21.49,Neoclassicism
#562721,891,86,39,33,0.11,Neoclassicism
#2B2726,241076,43,39,38,47.4,Neoclassicism
#799D83,236848,121,157,131,46.57,Neoclassicism
#C99D5E,26263,201,157,94,5.16,Neoclassicism
#CBF7D4,4438,203,247,212,0.87,Neoclassicism
#67703B,194298,103,112,59,64.87,Neoclassicism
#BED7DC,71692,190,215,220,23.94,Neoclassicism
#C6CA7E,30140,198,202,126,10.06,Neoclassicism
#4E2A0A,3381,78,42,10,1.13,Neoclassicism
#916639,1042635,145,102,57,81.81,Neoclassicism
#FFFFFF,115728,255,255,255,9.08,Neoclassicism
#060000,73231,6,0,0,5.75,Neoclassicism
#E5BC88,42818,229,188,136,3.36,Neoclassicism
#10110C,2124480,16,17,12,74.27,Neoclassicism
#575C55,660531,87,92,85,23.09,Neoclassicism
#58281E,44605,88,40,30,1.56,Neoclassicism
#FFFFF7,30869,255,255,247,1.08,Neoclassicism
#BC996F,355341,188,153,111,50.02,Neoclassicism
#1D1D1B,326213,29,29,27,45.92,Neoclassicism
#616556,16747,97,101,86,2.36,Neoclassicism
#6E341C,12065,110,52,28,1.7,Neoclassicism
#000000,394987,0,0,0,87.2,Neoclassicism
#54311E,32383,84,49,30,7.15,Neoclassicism
#D46F37,22720,212,111,55,5.02,Neoclassicism
#FFCE58,2862,255,206,88,0.63,Neoclassicism
#64433A,697329,100,67,58,56.4,Neoclassicism
#AA824E,483184,170,130,78,39.08,Neoclassicism
#F2EEC1,55774,242,238,193,4.51,Neoclassicism
#ECC963,121,236,201,99,0.01,Neoclassicism
#E1E2E4,279781,225,226,228,93.12,Neoclassicism
#938C7A,20683,147,140,122,6.88,Neoclassicism
#000201,178458,0,2,1,54.32,Neoclassicism
#E6C8AE,68440,230,200,174,20.83,Neoclassicism
#47280B,53429,71,40,11,16.26,Neoclassicism
#002C53,28229,0,44,83,8.59,Neoclassicism
#57463E,1916199,87,70,62,39.92,Neoclassicism
#000000,1520868,0,0,0,31.68,Neoclassicism
#FFFFFF,906623,255,255,255,18.89,Neoclassicism
#AFA292,456638,175,162,146,9.51,Neoclassicism
#000000,2014141,0,0,0,64.75,Neoclassicism
#493A1B,953935,73,58,27,30.67,Neoclassicism
#A39477,139691,163,148,119,4.49,Neoclassicism
#906A1F,2868,144,106,31,0.09,Neoclassicism
#683E42,208495,104,62,66,32.8,Neoclassicism
#EAF0F0,159446,234,240,240,25.09,Neoclassicism
#110E19,158256,17,14,25,24.9,Neoclassicism
#AA572B,109397,170,87,43,17.21,Neoclassicism
#12191F,82055,18,25,31,56.59,Neoclassicism
#64382D,27709,100,56,45,19.11,Neoclassicism
#F3E0CF,25184,243,224,207,17.37,Neoclassicism
#91A3B1,10048,145,163,177,6.93,Neoclassicism
#E4E8F1,863582,228,232,241,49.15,Neoclassicism
